ID,FR,GB,PT,NL,DE
text_err_267_gauche_defaut,Erreur : Circuit 134 en défaut,New Text,New Text,New Text,New Text
text_err_266_gauche_defaut,Erreur : Circuit 410 en défaut,New Text,New Text,New Text,New Text
text_err_265_gauche_defaut,Erreur : Arrêt protection Circuit 134,New Text,New Text,New Text,New Text
text_err_264_gauche_defaut,Erreur : Arrêt protection Circuit 410,New Text,New Text,New Text,New Text
text_err_263_gauche_defaut,Erreur : Pression détendeur HP INT,New Text,New Text,New Text,New Text
text_err_262_gauche_defaut,Erreur : Pression HP compresseur 134,New Text,New Text,New Text,New Text
text_err_261_gauche_defaut,Erreur : Pression HP compresseur 410,New Text,New Text,New Text,New Text
text_err_260_gauche_defaut,Erreur : Pression BP compresseur 134,New Text,New Text,New Text,New Text
text_err_259_gauche_defaut,Erreur : Pression BP compresseur 410,New Text,New Text,New Text,New Text
text_err_258_gauche_defaut,Erreur : Sonde température frigo Spare,New Text,New Text,New Text,New Text
text_err_257_gauche_defaut,Erreur : Débit d'eau insuffisant,New Text,New Text,New Text,New Text
text_err_256_gauche_defaut,Erreur : Sonde température TEV134,New Text,New Text,New Text,New Text
text_err_255_gauche_defaut,Erreur : Sonde température TSC410 B,New Text,New Text,New Text,New Text
text_err_254_gauche_defaut,Erreur : Sonde température TDS134,New Text,New Text,New Text,New Text
text_err_253_gauche_defaut,Erreur : Sonde température TSC410 A,New Text,New Text,New Text,New Text
text_err_252_gauche_defaut,Erreur : Sonde température TDS410,New Text,New Text,New Text,New Text
text_err_251_gauche_defaut,Erreur : Pressostat sécurité R134,New Text,New Text,New Text,New Text
text_err_250_gauche_defaut,Erreur : Pressostat sécurité R410,New Text,New Text,New Text,New Text
text_err_202_gauche_defaut,Erreur : Sonde température TEV_OUT,New Text,New Text,New Text,New Text
text_err_201_gauche_defaut,Erreur : Sonde température TEV_IN,New Text,New Text,New Text,New Text
text_err_200_gauche_defaut,Erreur : Sonde extérieure,New Text,New Text,New Text,New Text
text_err_134_gauche_defaut,Erreur : Défaut communication carte MZ3,New Text,New Text,New Text,New Text
text_err_133_gauche_defaut,Erreur : Défaut communication carte MZ2,New Text,New Text,New Text,New Text
text_err_132_gauche_defaut,Erreur : Défaut communication carte MZ1,New Text,New Text,New Text,New Text
text_err_131_gauche_defaut,Erreur : Défaut communication carte ECS,New Text,New Text,New Text,New Text
text_err_130_gauche_defaut,Erreur : Défaut communication esclave,New Text,New Text,New Text,New Text
text_err_128_gauche_defaut,Erreur : Défaut communication modbus,New Text,New Text,New Text,New Text
text_err_127_gauche_defaut,Erreur : Défaut communication modbus,New Text,New Text,New Text,New Text
text_err_125_gauche_defaut,Erreur : Association multiple antenne RF,New Text,New Text,New Text,New Text
text_err_124_gauche_defaut,Thermodynamique Maximum atteint en mode ECS,New Text,New Text,New Text,New Text
text_err_123_gauche_defaut,Erreur : Sonde d'eau ballon tampon,New Text,New Text,New Text,New Text
text_err_122_gauche_defaut,Erreur : Défaut communication antenne RF,New Text,New Text,New Text,New Text
text_err_121_gauche_defaut,Erreur : Défaut communication carte FAN,New Text,New Text,New Text,New Text
text_err_120_gauche_defaut,Erreur : Défaut communication carte FRIGO,New Text,New Text,New Text,New Text
text_err_119_gauche_defaut,Erreur : Erreur RTC,New Text,New Text,New Text,New Text
text_err_118_gauche_defaut,Erreur : Erreur mémoire Flash,New Text,New Text,New Text,New Text
text_err_117_gauche_defaut,Erreur : Erreur mémoire EEPROM,New Text,New Text,New Text,New Text
text_err_116_gauche_defaut,Erreur : Compteur de puissance,New Text,New Text,New Text,New Text
text_err_115_gauche_defaut,Erreur : Pression d'eau chauffage,New Text,New Text,New Text,New Text
text_err_114_gauche_defaut,Erreur : Erreur système,New Text,New Text,New Text,New Text
text_err_112_gauche_defaut,Erreur : Sonde ballon ECS Bas,New Text,New Text,New Text,New Text
text_err_111_gauche_defaut,Erreur : Sonde ballon ECS Milieu,New Text,New Text,New Text,New Text
text_err_110_gauche_defaut,Erreur : Sonde d'eau piscine,New Text,New Text,New Text,New Text
text_err_107_gauche_defaut,Erreur : Sonde d'eau ballon tampon froid,New Text,New Text,New Text,New Text
text_err_105_gauche_defaut,Erreur : Sonde d'eau primaire retour,New Text,New Text,New Text,New Text
text_err_104_gauche_defaut,Erreur : Sonde d'eau primaire aller,New Text,New Text,New Text,New Text
text_err_80_gauche_defaut,Erreur : Sonde d'eau retour Groupe B,New Text,New Text,New Text,New Text
text_err_79_gauche_defaut,Erreur : Sonde d'eau retour Groupe A,New Text,New Text,New Text,New Text
text_err_78_gauche_defaut,Erreur : Sonde d'eau retour zone 8,New Text,New Text,New Text,New Text
text_err_77_gauche_defaut,Erreur : Sonde d'eau retour zone 7,New Text,New Text,New Text,New Text
text_err_76_gauche_defaut,Erreur : Sonde d'eau retour zone 6,New Text,New Text,New Text,New Text
text_err_75_gauche_defaut,Erreur : Sonde d'eau retour zone 5,New Text,New Text,New Text,New Text
text_err_74_gauche_defaut,Erreur : Sonde d'eau retour zone 4,New Text,New Text,New Text,New Text
text_err_73_gauche_defaut,Erreur : Sonde d'eau retour zone 3,New Text,New Text,New Text,New Text
text_err_72_gauche_defaut,Erreur : Sonde d'eau retour zone 2,New Text,New Text,New Text,New Text
text_err_71_gauche_defaut,Erreur : Sonde d'eau retour zone 1,New Text,New Text,New Text,New Text
text_err_70_gauche_defaut,Erreur : Sonde d'eau départ Groupe B,New Text,New Text,New Text,New Text
text_err_69_gauche_defaut,Erreur : Sonde d'eau départ Groupe A,New Text,New Text,New Text,New Text
text_err_68_gauche_defaut,Erreur : Sonde d'eau départ zone 8,New Text,New Text,New Text,New Text
text_err_67_gauche_defaut,Erreur : Sonde d'eau départ zone 7,New Text,New Text,New Text,New Text
text_err_66_gauche_defaut,Erreur : Sonde d'eau départ zone 6,New Text,New Text,New Text,New Text
text_err_65_gauche_defaut,Erreur : Sonde d'eau départ zone 5,New Text,New Text,New Text,New Text
text_err_64_gauche_defaut,Erreur : Sonde d'eau départ zone 4,New Text,New Text,New Text,New Text
text_err_63_gauche_defaut,Erreur : Sonde d'eau départ zone 3,New Text,New Text,New Text,New Text
text_err_62_gauche_defaut,Erreur : Sonde d'eau départ zone 2,New Text,New Text,New Text,New Text
text_err_61_gauche_defaut,Erreur : Sonde d'eau départ zone 1,New Text,New Text,New Text,New Text
text_err_58_gauche_defaut,Erreur : Sonde intérieure zone 8,New Text,New Text,New Text,New Text
text_err_57_gauche_defaut,Erreur : Sonde intérieure zone 7,New Text,New Text,New Text,New Text
text_err_56_gauche_defaut,Erreur : Sonde intérieure zone 6,New Text,New Text,New Text,New Text
text_err_55_gauche_defaut,Erreur : Sonde intérieure zone 5,New Text,New Text,New Text,New Text
text_err_54_gauche_defaut,Erreur : Sonde intérieure zone 4,New Text,New Text,New Text,New Text
text_err_53_gauche_defaut,Erreur : Sonde intérieure zone 3,New Text,New Text,New Text,New Text
text_err_52_gauche_defaut,Erreur : Sonde intérieure zone 2,New Text,New Text,New Text,New Text
text_err_51_gauche_defaut,Erreur : Sonde intérieure zone 1,New Text,New Text,New Text,New Text
text_err_50_gauche_defaut,Erreur : Capteur de débit Groupe B,New Text,New Text,New Text,New Text
text_err_49_gauche_defaut,Erreur : Capteur de débit Groupe A,New Text,New Text,New Text,New Text
text_err_48_gauche_defaut,Erreur : Capteur de débit Zone 8,New Text,New Text,New Text,New Text
text_err_47_gauche_defaut,Erreur : Capteur de débit Zone 7,New Text,New Text,New Text,New Text
text_err_46_gauche_defaut,Erreur : Capteur de débit Zone 6,New Text,New Text,New Text,New Text
text_err_45_gauche_defaut,Erreur : Capteur de débit Zone 5,New Text,New Text,New Text,New Text
text_err_44_gauche_defaut,Erreur : Capteur de débit Zone 4,New Text,New Text,New Text,New Text
text_err_43_gauche_defaut,Erreur : Capteur de débit Zone 3,New Text,New Text,New Text,New Text
text_err_42_gauche_defaut,Erreur : Capteur de débit Zone 2,New Text,New Text,New Text,New Text
text_err_41_gauche_defaut,Erreur : Capteur de débit Zone 1,New Text,New Text,New Text,New Text
text_err_40_gauche_defaut,Erreur : Capteur de débit Primaire,New Text,New Text,New Text,New Text
text_err_30_gauche_defaut,Info : Demande de fonctionnement de la chaudière,New Text,New Text,New Text,New Text
text_err_18_gauche_defaut,Erreur : Boot carte Multizone,New Text,New Text,New Text,New Text
text_err_17_gauche_defaut,Erreur : Boot carte ECS,New Text,New Text,New Text,New Text
text_err_16_gauche_defaut,Erreur : Boot antenne RF,New Text,New Text,New Text,New Text
text_err_15_gauche_defaut,Erreur : Boot IHM,New Text,New Text,New Text,New Text
text_err_14_gauche_defaut,Erreur : Boot carte FRIGO,New Text,New Text,New Text,New Text
text_err_13_gauche_defaut,Erreur : Boot carte PW,New Text,New Text,New Text,New Text
text_err_12_gauche_defaut,Erreur : Boot carte FAN,New Text,New Text,New Text,New Text
text_err_11_gauche_defaut,Erreur : Boot carte REG - REG,New Text,New Text,New Text,New Text
text_err_10_gauche_defaut,Erreur : Boot carte REG - ETHER,New Text,New Text,New Text,New Text
text_err_inconnue_gauche_defaut,Erreur : Non référencée dans l'IHM,New Text,New Text,New Text,New Text
text_alarmes_centre_defaut,Alarmes,New Text,New Text,New Text,New Text
text_circulateur_carte_reg_Z2_centre_defaut,"Circulateurs
Carte REG (Z2)",New Text,New Text,New Text,New Text
text_circulateur_carte_reg_Z1_centre_defaut,"Circulateurs
Carte REG (Z1)",New Text,New Text,New Text,New Text
text_circulateur_carte_reg_P_centre_defaut,"Circulateurs
Carte REG (P)",New Text,New Text,New Text,New Text
text_test_composants_titre_centre_defaut,Test Composants,New Text,New Text,New Text,New Text
text_circulateur_geotwin_centre_defaut,"Circulateurs
Carte GEOTWIN",New Text,New Text,New Text,New Text
text_relais_geotwin_centre_defaut,"Relais
Carte GEOTWIN",New Text,New Text,New Text,New Text
text_detendeur_geotwin_centre_defaut,"Détendeur
Carte GEOTWIN",New Text,New Text,New Text,New Text
text_comp2_geotwin_centre_defaut,"Compresseur 2
Carte GEOTWIN",New Text,New Text,New Text,New Text
text_comp1_geotwin_centre_defaut,"Compresseur 1
Carte GEOTWIN",New Text,New Text,New Text,New Text
text_sortie_det4_inv_centre_defaut,"Sortie
DET 4",New Text,New Text,New Text,New Text
text_sortie_det3_inv_centre_defaut,"Sortie
DET 3",New Text,New Text,New Text,New Text
text_sortie_det2_inv_centre_defaut,"Sortie
DET2",New Text,New Text,New Text,New Text
text_sortie_vent_inv_centre_defaut,"Sortie
OUT VENT",New Text,New Text,New Text,New Text
text_sortie_det1_inv_centre_defaut,"Sortie
DET 1",New Text,New Text,New Text,New Text
text_sortie_option_inv_centre_defaut,"Sortie
OPTION",New Text,New Text,New Text,New Text
text_sortie_circ_prim_inv_centre_defaut,"Sortie
circulateur
CIRC PRIM",New Text,New Text,New Text,New Text
text_sortie_relais_v4v_inv_centre_defaut,"Sortie Relais
V4V",New Text,New Text,New Text,New Text
text_sortie_circ_cent_capt_inv_dentre_defaut,"Sortie
circulateur
VENT CAPT",New Text,New Text,New Text,New Text
text_sortie_relais_puits_inv_centre_defaut,"Sortie Relais
Cont. PUITS",New Text,New Text,New Text,New Text
text_sortie_relais_spa2_inv_centre_defaut,"Sortie Relais
SPA2",New Text,New Text,New Text,New Text
text_sortie_relais_spa1_inv_centre_defaut,"Sortie Relais
SPA1",New Text,New Text,New Text,New Text
text_sortie_relais_c2_inv_centre_defaut,"Sortie Relais
C2",New Text,New Text,New Text,New Text
text_sortie_relais_c1_inv_centre_defaut,"Sortie Relais
C1",New Text,New Text,New Text,New Text
text_sortie_relais_rc_inv_centre_defaut,"Sortie relais
RC",New Text,New Text,New Text,New Text
text_sortie_relais_ev_inv_centre_defaut,"Sortie relais
EV",New Text,New Text,New Text,New Text
text_sortie_relais_rv_inv_centre_defaut,"Sortie relais
RV",New Text,New Text,New Text,New Text
text_sorties_relais_appoint_inv_centre_defaut,"Sorties Relais
APPOINT
(3s)",New Text,New Text,New Text,New Text
text_sortie_carte_mz_0_10v_centre_defaut,"Sorties 0-10V
Carte MZ
(60 secs 75%)",New Text,New Text,New Text,New Text
text_relais_carte_mz_centre_defaut,"Relais
Carte MZ
(10 secs)",New Text,New Text,New Text,New Text
text_circulateur_carte_geo_cenbtre_defaut,"Circulateurs
Carte GEOTWIN",New Text,New Text,New Text,New Text
text_relais_carte_geo_centre_defaut,"Relais
Carte GEOTWIN",New Text,New Text,New Text,New Text
text_detendeur_carte_geo_centre_defaut,"Détendeur
Carte GEOTWIN",New Text,New Text,New Text,New Text
text_comp2_carte_geo_centre_defaut,"Compresseur 2
Carte GEOTWIN",New Text,New Text,New Text,New Text
text_comp1_carte_geo_centre_defaut,"Compresseur 1
Carte GEOTWIN",New Text,New Text,New Text,New Text
text_relais_v3v_carte_ecs_centre_defaut,"Relais V3V
Carte ECS",New Text,New Text,New Text,New Text
text_relais_appoint_carte_ecs_centre_defaut,"Relais Appoint
Carte ECS",New Text,New Text,New Text,New Text
text_relais_circulateur_carte_ecs_centre_defaut,"Relais
Circulateur
Carte ECS",New Text,New Text,New Text,New Text
text_sorties_ana_carte_ecs_centre_defaut,"Sorties
analogiques
Carte ECS",New Text,New Text,New Text,New Text
text_relais_carte_reg_centre_defaut,"Relais
Carte REG",New Text,New Text,New Text,New Text
text_vanne_de_melange_carte_reg_centre_defaut,"Vanne de
mélange
Carte REG",New Text,New Text,New Text,New Text
text_circulateur_carte_reg_centre_defaut,"Circulateurs
Carte REG",New Text,New Text,New Text,New Text
text_titre_verification_annuelle,* * * VERIFICATION ANNUELLE * * *,New Text,New Text,New Text,New Text
text_verification_anode,"Veuillez faire effectuer par votre installateur votre entretien annuel sur votre
pompe à chaleur : Contrôle de l'étanchéité du circuit frigorifique, Nettoyage
des filtres et pots à boues, Contrôle de l'état de l'anode pour les Pompes à
chaleur disposant de l'option eau chaude sanitaire, Nettoyage de la batterie à
ailette de l'unité extérieure pour les groupes aérothermiques, Contrôle du taux
de glycol pour les groupe Géothermiques, Resserrage des bornes des différents
composants électriques, Contrôle et regonflage du vase d'expansion...",New Text,New Text,New Text,New Text
text_na_centre_defaut,NA,NA,NA,NA,NA
text_na_droite_defaut,NA,NA,NA,NA,NA
text_na_gauche_defaut,NA,NA,NA,NA,NA
text_message_meme_numero_sonde,"Une autre sonde Modbus ou RF est déjà attribuée avec le
même numéro de sonde.
- Si votre actuelle sonde est du type Modbus, contrôler les
numéros attribués sur vos sondes RF.
- Si votre actuelle sonde est du type RF, contrôler les
numéros attribués sur vos sondes Modbus.",New Text,New Text,New Text,New Text
text_erreur_config_loi_deau,Erreur : Configuration loi d'eau REG,New Text,New Text,New Text,New Text
text_message_meme_sortie,"Plusieurs zones ou groupes sont affectés à la même sortie
(carte Multi-zone et voie identiques).",New Text,New Text,New Text,New Text
text_var_sys_inv_normal_adresse,Normal (adresse ,New Text,New Text,New Text,New Text
text_var_sys_inv_secours_chaud,Secours (Chaud : consigne),New Text,New Text,New Text,New Text
text_var_sys_inv_secours_froid,Secours (Froid : consigne),New Text,New Text,New Text,New Text
text_val_0,0,New Text,New Text,New Text,New Text
text_val_0_0,0.0,New Text,New Text,New Text,New Text
text_modif_code_acces_titre_centre_defaut,Modifier le code d'accès,New Text,New Text,New Text,New Text
text_mode_commande_valeur,Valeur : ,New Text,New Text,New Text,New Text
text_recup_charge_ui_4,"La procédure de Pump Down a échoué.
trop de gaz esté dans l'unité extérieure.
Vous pouvez répéter la procédure.",New Text,New Text,New Text,New Text
text_recup_charge_ue_4,"La procédure de Pump Down a échoué.
trop de gaz esté dans l'unité intérieure.
Vous pouvez répéter la procédure.",New Text,New Text,New Text,New Text
text_recup_charge_ui_3,Procédure Pump Down réussie.,New Text,New Text,New Text,New Text
text_recup_charge_ue_3,Procédure Pump Down réussie.,New Text,New Text,New Text,New Text
text_recup_charge_ue_2,"Merci de fermer la Vanne 3/4 (ou 7/8)
de l'unité extérieure.",New Text,New Text,New Text,New Text
text_recup_charge_ue_1,"Pump Down en cours...
Surveiller les pression HP410 et BP410",New Text,New Text,New Text,New Text
text_recup_charge_ue,"La fonction permet de vider l'unité intérieure de
son gaz.
La durée en d'environ 5 mn.
Fermer la vanne 3/8""de l'unité extérieure.",New Text,New Text,New Text,New Text
text_recup_charge_ui_2,"Merci de fermer la Vanne 3/4 (ou 7/8)
de l'unité intérieure.",New Text,New Text,New Text,New Text
text_recup_charge_ui_1,"Pump Down en cours...
Surveiller les pression HP410 et BP410",New Text,New Text,New Text,New Text
text_recup_charge_ui,"La fonction permet de vider l'unité extérieure de
son gaz.
La durée en d'environ 5 mn.
Fermer la vanne 3/8""de l'unité intérieure.",New Text,New Text,New Text,New Text
text_registre_val,0,New Text,New Text,New Text,New Text
text_no_mode_commande_defaut,"Pas d'accès au mode commande, défaut de
l'unité extérieure",New Text,New Text,New Text,New Text
text_mode_commande_cde_encours,"Commande en cours...
La durée est d'enriron 10 sec.",New Text,New Text,New Text,New Text
text_val_test_code,0.0°C,New Text,New Text,New Text,New Text
text_pression_bp,"3,4",New Text,New Text,New Text,New Text
text_pression_hp,"8,5",New Text,New Text,New Text,New Text
text_val_pression_bp,Pression BP410 :,New Text,New Text,New Text,New Text
text_val_pression_hp,Pression HP410 : ,New Text,New Text,New Text,New Text
text_value_pression,<Value> b,<Value> b,<Value> b,<Value> b,<Value> b
text_val_freq_record_histo,5,New Text,New Text,New Text,New Text
text_var_sys_reduc_pw_R0,E : 100% / P : 100%,New Text,New Text,New Text,New Text
text_var_sys_reduc_pw_R1,E : 66% / P : 100%,New Text,New Text,New Text,New Text
text_var_sys_reduc_pw_R2,E : 33% / P : 100%,New Text,New Text,New Text,New Text
text_var_sys_reduc_pw_R3,E : 0% / P : 100%,New Text,New Text,New Text,New Text
text_var_sys_reduc_pw_R4,E : 0% / P : 80%,New Text,New Text,New Text,New Text
text_var_sys_reduc_pw_R5,E : 0% / P : 70%,New Text,New Text,New Text,New Text
text_var_sys_reduc_pw_R6,E : 0% / P : 60%,New Text,New Text,New Text,New Text
text_var_sys_reduc_pw_R7,E : 0% / P : 50%,New Text,New Text,New Text,New Text
text_var_sys_1000_pulses,1000,New Text,New Text,New Text,New Text
text_var_sys_800_pulses,800,New Text,New Text,New Text,New Text
text_var_sys_val_priorite_relance_droit_defaut,Piscine,New Text,New Text,New Text,New Text
text_var_sys_0percent_centre_defaut,0%,New Text,New Text,New Text,New Text
text_var_sys_100percent_centre_defaut,100%,New Text,New Text,New Text,New Text
text_var_sys_66percent_centre_defaut,66%,New Text,New Text,New Text,New Text
text_var_sys_33percent_centre_defaut,33%,New Text,New Text,New Text,New Text
text_var_sys_th_radio_droite_defaut,Radio,New Text,New Text,New Text,New Text
text_var_sys_th_modbus_droite_defaut,Modbus,New Text,New Text,New Text,New Text
text_var_sys_th_contact_droite_defaut,Entrée contact,New Text,New Text,New Text,New Text
text_var_sys_tiret_tiret_droite_defaut,--,New Text,New Text,New Text,New Text
text_value_groupeB,Groupe B,New Text,New Text,New Text,New Text
text_marche_droite_defaut,Marche,New Text,New Text,New Text,New Text
text_arret_droite_defaut,Arrêt,New Text,New Text,New Text,New Text
text_on_droite_defaut,On,New Text,New Text,New Text,New Text
text_valeur_nulle,,New Text,New Text,New Text,New Text
text_message_code_incorrect_centre_defaut,Code incorrect,New Text,New Text,New Text,New Text
text_votre_code_titre_centre_defaut,Votre code,New Text,New Text,New Text,New Text
text_configuration_modbus_titre_centre,Configuration Modbus,New Text,New Text,New Text,New Text
text_val_parite,None,New Text,New Text,New Text,New Text
text_val_nb_stopbit,1,New Text,New Text,New Text,New Text
text_val_vitesse_com,19200,New Text,New Text,New Text,New Text
text_value_val_reduc_pw,E : 100% / P : 100%,New Text,New Text,New Text,New Text
text_reduction_puissance_titre_centre_defaut,Réduction de puissance,New Text,New Text,New Text,New Text
text_prog_silence_centre_defaut,Prog. Mode Silence,New Text,New Text,New Text,New Text
text_gestion_des_vannes_3_voies,Gestion des Vannes 3 Voies,New Text,New Text,New Text,New Text
text_valeur_tps_max_simultane_ecs,1H,New Text,New Text,New Text,New Text
text_cycle_antilegionellose_centre_large,Cycle Antilégionellose,New Text,New Text,New Text,New Text
text_chauffe_eau_centre_large,Chauffe-eau,New Text,New Text,New Text,New Text
text_sortie_6,6,New Text,New Text,New Text,New Text
text_sortie_1,1,New Text,New Text,New Text,New Text
text_entree_3,3,New Text,New Text,New Text,New Text
text_entree_2,2,New Text,New Text,New Text,New Text
text_entree_5,5,New Text,New Text,New Text,New Text
text_entree_1,1,New Text,New Text,New Text,New Text
text_zone8_default,Zone 8,New Text,New Text,New Text,New Text
text_zone7_default,Zone 7,New Text,New Text,New Text,New Text
text_zone6_default,Zone 6,New Text,New Text,New Text,New Text
text_zone5_default,Zone 5,New Text,New Text,New Text,New Text
text_zone4_default,Zone 4,New Text,New Text,New Text,New Text
text_zone3_default,Zone 3,New Text,New Text,New Text,New Text
text_zone2_default,Zone 2,New Text,New Text,New Text,New Text
text_zone1_default,Zone 1,New Text,New Text,New Text,New Text
text_valeur_vitesse_ventil_max,5,New Text,New Text,New Text,New Text
text_val_registre,0,New Text,New Text,New Text,New Text
text_val_PDC_gaines,0,New Text,New Text,New Text,New Text
text_message_mode_chaud_pas_autorise,"Mode chaud non autorisé :

- Le mode chaud n'est pas activé dans le groupe où est
rattachée cette zone.",New Text,New Text,New Text,New Text
text_message_mode_froid_pas_autorise,"Mode froid non autorisé :

- Soit la pompe à chaleur n'est pas réversible
- Soit le mode froid n'est pas activé dans le groupe où est
rattachée cette zone.",New Text,New Text,New Text,New Text
text_MZ2_centre_defaut,MZ2,New Text,New Text,New Text,New Text
text_message_v3v_reg,"Vanne 3 voies mélangeuse indisponible sur la ""Zone / Voie 1"" 
de la carte REG :

- La voie 1 de la Carte REG pilote la Zone ayant la température
d'eau la plus élevée en mode chauffage.
- La voie 1 de la Carte REG pilote la Zone ayant la température
d'eau la plus basse en mode rafraîchissement.",New Text,New Text,New Text,New Text
text_autonome,Autonome,Autonome,Autonome,Autonome,Autonome
text_rattachement_zone,<Value>,<Value>,<Value>,<Value>,<Value>
text_hyst_moins_val,-4.0,New Text,New Text,New Text,New Text
text_value_vit_ventil_centre_defaut,70,New Text,New Text,New Text,New Text
text_n,n,New Text,New Text,New Text,New Text
text_v,v,New Text,New Text,New Text,New Text
text_x,x,New Text,New Text,New Text,New Text
text_w,w,New Text,New Text,New Text,New Text
text_m,m,New Text,New Text,New Text,New Text
text_l,l,New Text,New Text,New Text,New Text
text_k,k,New Text,New Text,New Text,New Text
text_j,j,New Text,New Text,New Text,New Text
text_h,h,New Text,New Text,New Text,New Text
text_g,g,New Text,New Text,New Text,New Text
text_f,f,New Text,New Text,New Text,New Text
text_d,d,New Text,New Text,New Text,New Text
text_s,s,New Text,New Text,New Text,New Text
text_q,q,New Text,New Text,New Text,New Text
text_p,p,New Text,New Text,New Text,New Text
text_o,o,New Text,New Text,New Text,New Text
text_i,i,New Text,New Text,New Text,New Text
text_u,u,New Text,New Text,New Text,New Text
text_message_information_titre,***INFORMATION***,New Text,New Text,New Text,New Text
text_y,y,New Text,New Text,New Text,New Text
text_t,t,New Text,New Text,New Text,New Text
text_r,r,New Text,New Text,New Text,New Text
text_e,e,New Text,New Text,New Text,New Text
text_z,z,New Text,New Text,New Text,New Text
text_regul_bcp_interne_centre_defaut,BCP interne,Directe,Directe,Directe,Directe
text_value_sortie_voie2carte2,3,New Text,New Text,New Text,New Text
text_c,c,New Text,New Text,New Text,New Text
text_b,b,New Text,New Text,New Text,New Text
text_message_attention_titre,***ATTENTION***,New Text,New Text,New Text,New Text
text_message_exemple_message,Ceci est un texte d'exemple pour les messages d'information.,New Text,New Text,New Text,New Text
text_message_exemple_titre,***TITRE EXEMPLE***,New Text,New Text,New Text,New Text
text_mode_rafraichissement_centre_defaut,Mode Rafraichissement,New Text,New Text,New Text,New Text
text_voulez_vous_activer_le_groupe,A,New Text,New Text,New Text,New Text
text_groupe_B_centre_defaut,Groupe B,New Text,New Text,New Text,New Text
text_value_groupeA,Groupe A,New Text,New Text,New Text,New Text
text_value_sortie_voie4carte2,4,New Text,New Text,New Text,New Text
text_value_sortie_voie3carte2,3,New Text,New Text,New Text,New Text
text_value_sortie_voie4,4,New Text,New Text,New Text,New Text
text_value_sortie_voie2,2,New Text,New Text,New Text,New Text
text_value_sortie_voie1carte2,1,New Text,New Text,New Text,New Text
text_value_mz_sortie_voie,5,New Text,New Text,New Text,New Text
text_rouge_message_multizones_groupe,"INFORMATION :
Nécessite la présence d'une à deux cartes Multi-zones.",New Text,New Text,New Text,New Text
text_centre_titre_repartition_puissance_zone,Répartition de la puissance entre les zones,New Text,New Text,New Text,New Text
text_value_part_volume_zone2,50,New Text,New Text,New Text,New Text
text_value_part_volume_zone1,50,New Text,New Text,New Text,New Text
text_part_valume_zone,<Value>%,<Value>%,<Value>%,<Value>%,<Value>%
text_recup_config_valeur_centre_defaut,33,New Text,New Text,New Text,New Text
text_recup_config_centre_defaut,Recup config <Value>%,Recup config <Value>%,Recup config <Value>%,Recup config <Value>%,Recup config <Value>%
text_attente_communication_centre_defaut,Démarrage système <value>,Attente communication <value>,Attente communication <value>,Attente communication <value>,Attente communication <value>
text_temp_droit_defaut,<Value>°C,<Value>°C,<Value>°C,<Value>°C,<Value>°C
text_debit_centre_defaut,<Value>l/h,<Value>l/h,<Value>l/h,<Value>l/h,<Value>l/h
text_percent_circ_centre_defaut,<Value>%,<Value>%,<Value>%,<Value>%,<Value>%
text_temp_gauche_defaut,<Value>°C,<Value>°C,<Value>°C,<Value>°C,N<Value>°C
text_EEV_centre_defaut,<Value>/500,<Value>/500,<Value>/500,<Value>/500,<Value>/500
text_circulateur_centre_defaut,Circulateur,New Text,New Text,New Text,New Text
text_temp_HP_cible_gauche_defaut,(<Value>°C),(<Value>°C),(<Value>°C),(<Value>°C),(<Value>°C)
text_min_v3v_ecs_90,Min V3V ECS 90%,New Text,New Text,New Text,New Text
text_min_v3v_ecs_80,Min V3V ECS 80%,New Text,New Text,New Text,New Text
text_min_v3v_ecs_70,Min V3V ECS 70%,New Text,New Text,New Text,New Text
text_type_appoint_ecs_pac,Appoint PAC,New Text,New Text,New Text,New Text
text_type_appoint_ecs_ecs,Résistance sur ECS,New Text,New Text,New Text,New Text
text_min_v3v_ecs_60,Min V3V ECS 60%,New Text,New Text,New Text,New Text
text_min_v3v_ecs_50,Min V3V ECS 50%,New Text,New Text,New Text,New Text
text_min_v3v_ecs_40,Min V3V ECS 40%,New Text,New Text,New Text,New Text
text_min_v3v_ecs_30,Min V3V ECS 30%,New Text,New Text,New Text,New Text
text_pas_de_limitation,Pas de limitation,New Text,New Text,New Text,New Text
text_3h,3H,New Text,New Text,New Text,New Text
text_2h,2H,New Text,New Text,New Text,New Text
text_1h,1H,New Text,New Text,New Text,New Text
text_valeur_vitesse_max_pompe_puits_init_centre_defaut,100,New Text,New Text,New Text,New Text
text_valeur_vitesse_max_pompe_puits_centre_defaut,<value>%,<value>,<value>,<value>,<value>
text_vitesse_max_pompe_puits_centre_defaut,Vitesse maximum de la pompe de puits,Maximum thermodynamic cycle duration or deactivate the function,Duração máxima do ciclo termodinâmico ou desativação da função,Durée du cycle thermodynamique max ou désactiver la fonction,Durée du cycle thermodynamique max ou désactiver la fonction
text_valeur_vitesse_min_pompe_puits_init_centre_defaut,60,New Text,New Text,New Text,New Text
text_valeur_vitesse_min_pompe_puits_centre_defaut,<value>%,<value>,<value>,<value>,<value>
text_vitesse_min_pompe_puits_centre_defaut,Vitesse minimum de la pompe de puits,Maximum thermodynamic cycle duration or deactivate the function,Duração máxima do ciclo termodinâmico ou desativação da função,Durée du cycle thermodynamique max ou désactiver la fonction,Durée du cycle thermodynamique max ou désactiver la fonction
