ID,FR,GB,PT,NL,DE
text_err_705_geohpf_gauche_defaut,Alerte : Sonde d'eau départ chauffage,New Text,New Text,New Text,New Text
text_err_706_geohpf_gauche_defaut,Alerte : Sonde d'eau retour chauffage,New Text,New Text,New Text,New Text
text_err_707_geohpf_gauche_defaut,Alerte : Pression d'eau chauffage,New Text,New Text,New Text,New Text
text_err_708_geohpf_gauche_defaut,Alerte : Débitmètre chauffage,New Text,New Text,New Text,New Text
text_err_715_geohpf_gauche_defaut,Alerte : Compteur d'energie,New Text,New Text,New Text,New Text
text_err_720_geohpf_gauche_defaut,Alerte : Sonde d'eau départ captage,New Text,New Text,New Text,New Text
text_err_721_geohpf_gauche_defaut,Alerte : Sonde d'eau retour captage,New Text,New Text,New Text,New Text
text_err_722_geohpf_gauche_defaut,Alerte : Sonde d'entrée eau de puits,New Text,New Text,New Text,New Text
text_err_723_geohpf_gauche_defaut,Alerte : Sonde de sortie d'eau de puits,New Text,New Text,New Text,New Text
text_err_724_geohpf_gauche_defaut,Alerte : Pression d'eau captage,New Text,New Text,New Text,New Text
text_err_725_geohpf_gauche_defaut,Alerte : Débitmètre captage,New Text,New Text,New Text,New Text
text_err_740_geohpf_gauche_defaut,Alerte : Sonde de refoulement circuit 1,New Text,New Text,New Text,New Text
text_err_741_geohpf_gauche_defaut,Alerte : Sonde d'aspiration circuit 1,New Text,New Text,New Text,New Text
text_err_742_geohpf_gauche_defaut,Alerte : Pression HP circuit 1,New Text,New Text,New Text,New Text
text_err_743_geohpf_gauche_defaut,Alerte : Pression BP circuit 1,New Text,New Text,New Text,New Text
text_err_760_geohpf_gauche_defaut,Alerte : Sonde de refoulement circuit 2,New Text,New Text,New Text,New Text
text_err_761_geohpf_gauche_defaut,Alerte : Sonde d'aspiration circuit 2,New Text,New Text,New Text,New Text
text_err_762_geohpf_gauche_defaut,Alerte : Pression HP circuit 2,New Text,New Text,New Text,New Text
text_err_763_geohpf_gauche_defaut,Alerte : Pression BP circuit 2,New Text,New Text,New Text,New Text
text_err_780_geohpf_gauche_defaut,Alerte : Sonde de retour liquide circuit 1,New Text,New Text,New Text,New Text
text_err_781_geohpf_gauche_defaut,Alerte : Sonde de retour liquide circuit 2,New Text,New Text,New Text,New Text
text_err_782_inv_gauche_defaut,Alerte : Cycle dégivrage incomplet,New Text,New Text,New Text,New Text
text_err_744_inv_gauche_defaut,Alerte : Charge réfrigérant anormale,New Text,New Text,New Text,New Text
text_err_743_inv_gauche_defaut,Alerte : Pression BP,New Text,New Text,New Text,New Text
text_err_742_inv_gauche_defaut,Alerte : Pression HP,New Text,New Text,New Text,New Text
text_err_741_inv_gauche_defaut,Alerte : Sonde d'aspiration,New Text,New Text,New Text,New Text
text_err_740_inv_gauche_defaut,Alerte : Sonde de refoulement,New Text,New Text,New Text,New Text
text_err_725_inv_gauche_defaut,Alerte : Débimètre captage,New Text,New Text,New Text,New Text
text_err_724_inv_gauche_defaut,Alerte : Pression d'eau captage,New Text,New Text,New Text,New Text
text_err_723_inv_gauche_defaut,Alerte : Sonde de sortie d'eau de puits,New Text,New Text,New Text,New Text
text_err_722_inv_gauche_defaut,Alerte : Sonde d'enytrée eau de puits,New Text,New Text,New Text,New Text
text_err_721_inv_gauche_defaut,Alerte : Sonde d'eau retour captage,New Text,New Text,New Text,New Text
text_err_720_inv_gauche_defaut,Alerte : Sonde d'eau départ captage,New Text,New Text,New Text,New Text
text_err_715_inv_gauche_defaut,Alerte : Compteur d'énergie (Phoenix),New Text,New Text,New Text,New Text
text_err_708_inv_gauche_defaut,Alerte : Débimètre chauffage,New Text,New Text,New Text,New Text
text_err_707_inv_gauche_defaut,Alerte : Pression d'eau chauffage,New Text,New Text,New Text,New Text
text_err_706_inv_gauche_defaut,Alerte : Sonde d'eau retour chauffage,New Text,New Text,New Text,New Text
text_err_705_inv_gauche_defaut,Alerte : Sonde d'eau départ chauffage,New Text,New Text,New Text,New Text
text_err_701_inv_gauche_defaut,Alerte : Sonde hygrométrie,New Text,New Text,New Text,New Text
text_err_700_inv_gauche_defaut,Alerte : Sonde extérieure,New Text,New Text,New Text,New Text
text_err_438_inv_gauche_defaut,Défaut : Perte rotor 3 (driver inverter),New Text,New Text,New Text,New Text
text_err_437_inv_gauche_defaut,Défaut : Perte rotor 2 (driver inverter),New Text,New Text,New Text,New Text
text_err_436_inv_gauche_defaut,Défaut : IPM prtotection / Désaturation (driver inverter),New Text,New Text,New Text,New Text
text_err_435_inv_gauche_defaut,Défaut : Température de refoulement compresseur (driver inverter),New Text,New Text,New Text,New Text
text_err_434_inv_gauche_defaut,Défaut : Surcharge compresseur (driver inverter),New Text,New Text,New Text,New Text
text_err_433_inv_gauche_defaut,Défaut : Démarrage compresseur (driver inverter),New Text,New Text,New Text,New Text
text_err_432_inv_gauche_defaut,Défaut : Perte de rotor (driver inverter),New Text,New Text,New Text,New Text
text_err_431_inv_gauche_defaut,Défaut : Manque phase DC (driver inverter),New Text,New Text,New Text,New Text
text_err_430_inv_gauche_defaut,Défaut : Surintensité compresseur phase W (driver inverter),New Text,New Text,New Text,New Text
text_err_429_inv_gauche_defaut,Défaut : Surintensité compresseur phase V (driver inverter),New Text,New Text,New Text,New Text
text_err_428_inv_gauche_defaut,Défaut : Surintensité compresseur phase U (driver inverter),New Text,New Text,New Text,New Text
text_err_427_inv_gauche_defaut,Défaut : Surintensité hardware (driver inverter),New Text,New Text,New Text,New Text
text_err_426_inv_gauche_defaut,Défaut : Code compresseur (driver inverter),New Text,New Text,New Text,New Text
text_err_425_inv_gauche_defaut,Défaut : Surchauffe IGBT (driver inverter),New Text,New Text,New Text,New Text
text_err_424_inv_gauche_defaut,Défaut : Surchauffe IPM (driver inverter),New Text,New Text,New Text,New Text
text_err_423_inv_gauche_defaut,Défaut : Manque phase AC (driver inverter),New Text,New Text,New Text,New Text
text_err_422_inv_gauche_defaut,Défaut : Sécurité pressostat HP (driver inverter),New Text,New Text,New Text,New Text
text_err_421_inv_gauche_defaut,Défaut : Sous-tension DC (driver inverter),New Text,New Text,New Text,New Text
text_err_420_inv_gauche_defaut,Défaut : Surtension DC (driver inverter),New Text,New Text,New Text,New Text
text_err_419_inv_gauche_defaut,Défaut : Sous-tension AC (driver inverter),New Text,New Text,New Text,New Text
text_err_418_inv_gauche_defaut,Défaut : Surtension AC (driver inverter),New Text,New Text,New Text,New Text
text_err_417_inv_gauche_defaut,Défaut : Surintensité AC (driver inverter),New Text,New Text,New Text,New Text
